Epoch: [1][20/1345], lr: 0.00100	Time 1.458 (2.333)	Data 0.000 (0.747)	Loss 4.0248 (4.0132)	Prec@1 14.062 (14.658)	Prec@5 32.812 (34.970)
Epoch: [1][40/1345], lr: 0.00100	Time 1.528 (1.918)	Data 0.000 (0.383)	Loss 4.1758 (4.0071)	Prec@1 10.938 (14.596)	Prec@5 25.000 (34.604)
Epoch: [1][60/1345], lr: 0.00100	Time 1.447 (1.771)	Data 0.000 (0.257)	Loss 4.0230 (4.0132)	Prec@1 7.812 (14.447)	Prec@5 35.938 (34.324)
Epoch: [1][80/1345], lr: 0.00100	Time 1.473 (1.696)	Data 0.000 (0.194)	Loss 4.1051 (4.0061)	Prec@1 10.938 (14.371)	Prec@5 23.438 (34.163)
Epoch: [1][100/1345], lr: 0.00100	Time 1.454 (1.653)	Data 0.000 (0.156)	Loss 4.0497 (3.9988)	Prec@1 14.062 (14.264)	Prec@5 31.250 (34.421)
Epoch: [1][120/1345], lr: 0.00100	Time 1.421 (1.623)	Data 0.000 (0.130)	Loss 4.2241 (4.0006)	Prec@1 10.938 (14.217)	Prec@5 26.562 (34.478)
Epoch: [1][140/1345], lr: 0.00100	Time 1.434 (1.601)	Data 0.000 (0.112)	Loss 4.0116 (3.9926)	Prec@1 14.062 (14.207)	Prec@5 32.812 (34.730)
Epoch: [1][160/1345], lr: 0.00100	Time 1.449 (1.587)	Data 0.000 (0.098)	Loss 3.7421 (3.9877)	Prec@1 20.312 (14.295)	Prec@5 39.062 (34.880)
Epoch: [1][180/1345], lr: 0.00100	Time 1.565 (1.575)	Data 0.000 (0.087)	Loss 4.1650 (3.9856)	Prec@1 3.125 (14.304)	Prec@5 28.125 (35.005)
Epoch: [1][200/1345], lr: 0.00100	Time 1.451 (1.566)	Data 0.000 (0.078)	Loss 3.9944 (3.9851)	Prec@1 14.062 (14.241)	Prec@5 28.125 (35.020)
Epoch: [1][220/1345], lr: 0.00100	Time 1.530 (1.559)	Data 0.000 (0.071)	Loss 3.8342 (3.9843)	Prec@1 9.375 (14.239)	Prec@5 37.500 (35.195)
Epoch: [1][240/1345], lr: 0.00100	Time 1.431 (1.552)	Data 0.000 (0.065)	Loss 3.9106 (3.9913)	Prec@1 15.625 (14.134)	Prec@5 35.938 (35.036)
Epoch: [1][260/1345], lr: 0.00100	Time 1.507 (1.546)	Data 0.000 (0.060)	Loss 3.9172 (3.9888)	Prec@1 20.312 (14.194)	Prec@5 40.625 (35.135)
