Epoch: [1][360/1345], lr: 0.00100	Time 0.986 (0.991)	Data 0.000 (0.059)	Loss 4.1121 (4.0966)	Prec@1 18.750 (13.132)	Prec@5 39.062 (32.890)
Epoch: [1][380/1345], lr: 0.00100	Time 0.998 (0.988)	Data 0.000 (0.056)	Loss 4.1774 (4.0937)	Prec@1 14.062 (13.148)	Prec@5 31.250 (33.042)
Epoch: [1][400/1345], lr: 0.00100	Time 1.035 (0.985)	Data 0.000 (0.053)	Loss 4.1092 (4.0961)	Prec@1 15.625 (13.139)	Prec@5 34.375 (33.019)
Epoch: [1][420/1345], lr: 0.00100	Time 0.899 (0.983)	Data 0.000 (0.051)	Loss 4.0361 (4.0945)	Prec@1 14.062 (13.198)	Prec@5 35.938 (33.080)
Epoch: [1][440/1345], lr: 0.00100	Time 0.898 (0.980)	Data 0.000 (0.048)	Loss 3.8275 (4.0913)	Prec@1 18.750 (13.279)	Prec@5 40.625 (33.128)
Epoch: [1][460/1345], lr: 0.00100	Time 0.948 (0.978)	Data 0.000 (0.046)	Loss 3.9839 (4.0897)	Prec@1 14.062 (13.252)	Prec@5 35.938 (33.128)
Epoch: [1][480/1345], lr: 0.00100	Time 1.000 (0.976)	Data 0.000 (0.044)	Loss 4.0947 (4.0872)	Prec@1 15.625 (13.234)	Prec@5 26.562 (33.131)
Epoch: [1][500/1345], lr: 0.00100	Time 0.883 (0.974)	Data 0.000 (0.043)	Loss 3.9481 (4.0849)	Prec@1 18.750 (13.280)	Prec@5 40.625 (33.255)
Epoch: [1][520/1345], lr: 0.00100	Time 0.893 (0.973)	Data 0.000 (0.041)	Loss 3.7011 (4.0798)	Prec@1 23.438 (13.364)	Prec@5 46.875 (33.397)
Epoch: [1][540/1345], lr: 0.00100	Time 0.905 (0.971)	Data 0.000 (0.039)	Loss 3.7900 (4.0788)	Prec@1 17.188 (13.407)	Prec@5 40.625 (33.387)
Epoch: [1][560/1345], lr: 0.00100	Time 0.994 (0.969)	Data 0.000 (0.038)	Loss 3.9265 (4.0728)	Prec@1 14.062 (13.461)	Prec@5 37.500 (33.584)
Epoch: [1][580/1345], lr: 0.00100	Time 0.978 (0.968)	Data 0.000 (0.037)	Loss 3.9396 (4.0701)	Prec@1 10.938 (13.503)	Prec@5 37.500 (33.681)
Epoch: [1][600/1345], lr: 0.00100	Time 0.881 (0.966)	Data 0.000 (0.035)	Loss 3.8797 (4.0668)	Prec@1 17.188 (13.543)	Prec@5 32.812 (33.748)
Epoch: [1][620/1345], lr: 0.00100	Time 0.874 (0.965)	Data 0.000 (0.034)	Loss 4.0806 (4.0625)	Prec@1 12.500 (13.587)	Prec@5 34.375 (33.907)
Epoch: [1][640/1345], lr: 0.00100	Time 0.904 (0.964)	Data 0.000 (0.033)	Loss 4.0719 (4.0615)	Prec@1 17.188 (13.592)	Prec@5 35.938 (33.958)
Epoch: [1][660/1345], lr: 0.00100	Time 0.974 (0.963)	Data 0.000 (0.032)	Loss 4.0592 (4.0599)	Prec@1 9.375 (13.620)	Prec@5 32.812 (33.961)
Epoch: [1][680/1345], lr: 0.00100	Time 0.975 (0.962)	Data 0.000 (0.031)	Loss 3.8847 (4.0560)	Prec@1 12.500 (13.661)	Prec@5 34.375 (34.054)
Epoch: [1][700/1345], lr: 0.00100	Time 0.953 (0.961)	Data 0.000 (0.030)	Loss 4.1327 (4.0508)	Prec@1 10.938 (13.733)	Prec@5 34.375 (34.197)
Epoch: [1][720/1345], lr: 0.00100	Time 1.095 (0.960)	Data 0.000 (0.030)	Loss 4.2218 (4.0471)	Prec@1 15.625 (13.824)	Prec@5 28.125 (34.277)
Epoch: [1][740/1345], lr: 0.00100	Time 0.965 (0.959)	Data 0.000 (0.029)	Loss 3.8409 (4.0451)	Prec@1 12.500 (13.831)	Prec@5 35.938 (34.305)
Epoch: [1][760/1345], lr: 0.00100	Time 0.962 (0.958)	Data 0.000 (0.028)	Loss 3.9598 (4.0411)	Prec@1 17.188 (13.884)	Prec@5 32.812 (34.416)
Epoch: [1][780/1345], lr: 0.00100	Time 0.997 (0.957)	Data 0.000 (0.027)	Loss 4.3625 (4.0386)	Prec@1 10.938 (13.904)	Prec@5 25.000 (34.459)
Epoch: [1][800/1345], lr: 0.00100	Time 0.956 (0.956)	Data 0.000 (0.027)	Loss 3.9089 (4.0366)	Prec@1 10.938 (13.914)	Prec@5 40.625 (34.504)
Epoch: [1][820/1345], lr: 0.00100	Time 0.992 (0.956)	Data 0.001 (0.026)	Loss 3.7375 (4.0303)	Prec@1 18.750 (13.986)	Prec@5 39.062 (34.636)
Epoch: [1][840/1345], lr: 0.00100	Time 0.972 (0.955)	Data 0.000 (0.025)	Loss 3.7952 (4.0256)	Prec@1 15.625 (14.070)	Prec@5 45.312 (34.782)
Epoch: [1][860/1345], lr: 0.00100	Time 0.987 (0.954)	Data 0.000 (0.025)	Loss 4.1580 (4.0206)	Prec@1 9.375 (14.106)	Prec@5 32.812 (34.889)
Epoch: [1][880/1345], lr: 0.00100	Time 0.965 (0.954)	Data 0.000 (0.024)	Loss 4.1803 (4.0200)	Prec@1 9.375 (14.103)	Prec@5 28.125 (34.891)
Epoch: [1][900/1345], lr: 0.00100	Time 0.957 (0.953)	Data 0.000 (0.024)	Loss 3.6410 (4.0179)	Prec@1 20.312 (14.139)	Prec@5 37.500 (34.920)
Epoch: [1][920/1345], lr: 0.00100	Time 0.974 (0.953)	Data 0.000 (0.023)	Loss 4.0561 (4.0163)	Prec@1 10.938 (14.149)	Prec@5 34.375 (34.970)
